date;ret
23/04/2015;3.741666e-03
24/04/2015;4.183283e-03
27/04/2015;3.697170e-04
28/04/2015;4.913983e-03
29/04/2015;2.311766e-03
30/04/2015;-2.665380e-03
01/05/2015;1.054714e-03
04/05/2015;-1.340165e-03
05/05/2015;4.665164e-05
06/05/2015;-1.631759e-03
07/05/2015;3.756050e-03
08/05/2015;2.867040e-03
11/05/2015;2.236678e-03
12/05/2015;-4.512217e-03
13/05/2015;-2.712150e-04
14/05/2015;2.085199e-03
15/05/2015;3.084779e-03
18/05/2015;6.075868e-03
19/05/2015;-3.641011e-03
20/05/2015;-3.994318e-03
21/05/2015;-5.838490e-04
22/05/2015;-8.750476e-03
26/05/2015;-6.516307e-04
27/05/2015;-3.315044e-03
28/05/2015;-3.553383e-03
29/05/2015;8.428631e-04
01/06/2015;5.547027e-05
02/06/2015;-1.381820e-03
03/06/2015;-1.938429e-03
04/06/2015;-4.637124e-03
05/06/2015;-9.279458e-03
08/06/2015;-9.671105e-03
09/06/2015;3.396187e-03
10/06/2015;-1.257461e-03
11/06/2015;1.891144e-03
12/06/2015;-2.550953e-03
15/06/2015;-6.520475e-03
16/06/2015;7.878326e-03
17/06/2015;7.677885e-03
18/06/2015;3.585499e-03
19/06/2015;1.870894e-03
22/06/2015;6.521605e-03
23/06/2015;-4.089914e-03
24/06/2015;-4.654330e-04
25/06/2015;3.854151e-03
26/06/2015;1.120274e-02
29/06/2015;-2.916862e-03
30/06/2015;2.472351e-04
01/07/2015;7.235414e-04
02/07/2015;4.550185e-03
06/07/2015;1.410387e-03
07/07/2015;-4.567879e-03
08/07/2015;-2.485344e-03
09/07/2015;-4.926240e-04
10/07/2015;2.577949e-03
13/07/2015;1.212696e-03
14/07/2015;-9.979452e-04
15/07/2015;1.584692e-03
16/07/2015;6.554793e-04
17/07/2015;6.860986e-04
20/07/2015;1.071206e-04
21/07/2015;1.690292e-03
22/07/2015;-4.087695e-03
23/07/2015;7.120873e-04
24/07/2015;-4.932691e-03
27/07/2015;1.330537e-03
28/07/2015;4.299563e-04
29/07/2015;1.285874e-03
30/07/2015;-2.873268e-03
31/07/2015;7.868984e-04
03/08/2015;3.591748e-03
04/08/2015;-2.957351e-03
05/08/2015;2.228770e-03
06/08/2015;3.356343e-04
07/08/2015;-3.876102e-03
10/08/2015;9.773775e-04
11/08/2015;1.783935e-03
12/08/2015;5.927986e-04
13/08/2015;-1.269206e-03
14/08/2015;1.057277e-03
17/08/2015;2.338089e-03
18/08/2015;1.282750e-03
19/08/2015;2.968107e-03
20/08/2015;-3.522136e-04
21/08/2015;1.067099e-03
24/08/2015;1.954627e-03
25/08/2015;3.488851e-03
26/08/2015;3.009068e-03
27/08/2015;-1.410028e-03
28/08/2015;1.638090e-03
31/08/2015;1.425074e-03
01/09/2015;4.100595e-03
02/09/2015;5.903502e-03
03/09/2015;-2.008031e-03
04/09/2015;-9.281435e-04
08/09/2015;1.683147e-03
09/09/2015;-4.169492e-04
10/09/2015;4.923787e-04
11/09/2015;-1.305868e-03
14/09/2015;2.746064e-03
15/09/2015;-5.287780e-03
16/09/2015;-2.248165e-05
17/09/2015;-1.521688e-03
18/09/2015;-3.958476e-03
21/09/2015;-2.097748e-03
22/09/2015;-4.850612e-03
23/09/2015;4.465976e-03
24/09/2015;-2.787121e-04
25/09/2015;-3.044873e-03
28/09/2015;-2.009563e-03
29/09/2015;2.264634e-03
30/09/2015;-5.327905e-04
01/10/2015;5.719207e-04
02/10/2015;-1.684503e-03
05/10/2015;7.609994e-03
06/10/2015;5.131967e-03
07/10/2015;2.207178e-03
08/10/2015;-6.112691e-03
09/10/2015;2.691913e-03
12/10/2015;2.303957e-03
13/10/2015;1.150094e-03
14/10/2015;2.381110e-03
15/10/2015;4.720769e-03
16/10/2015;-7.810418e-03
19/10/2015;-2.177814e-03
20/10/2015;-5.629274e-03
21/10/2015;4.081105e-03
22/10/2015;-1.642120e-04
23/10/2015;-1.962476e-03
26/10/2015;2.740801e-03
27/10/2015;-3.879953e-03
28/10/2015;2.854664e-03
29/10/2015;9.372426e-04
30/10/2015;-2.688813e-03
02/11/2015;-4.049268e-03
03/11/2015;2.178048e-03
04/11/2015;9.634099e-04
05/11/2015;-1.298176e-03
06/11/2015;-4.652829e-04
09/11/2015;-2.276790e-04
10/11/2015;2.424916e-03
11/11/2015;1.380769e-03
12/11/2015;3.019492e-03
13/11/2015;1.265188e-03
16/11/2015;5.564436e-03
17/11/2015;-1.887894e-03
18/11/2015;-2.498587e-03
19/11/2015;7.613522e-03
20/11/2015;-6.399031e-04
23/11/2015;3.437675e-03
24/11/2015;2.582609e-03
25/11/2015;4.027020e-04
27/11/2015;8.700773e-04
30/11/2015;1.869747e-03
01/12/2015;2.058837e-03
02/12/2015;5.444454e-03
03/12/2015;-8.316000e-05
04/12/2015;3.105471e-03
07/12/2015;2.456131e-04
08/12/2015;-9.879669e-04
